SENS_AOA=1.30666728884042e-05
"Point","Sensitivity","PsiRho","Phi_x","Phi_y","PsiE","x_coord","y_coord"
13, -8.751379011182528e-02, 2.698179542601434e-01, -2.673098841455227e-01, -2.250485848235082e-01, 6.884512929533826e-02, 9.519400000570000e-01, -1.357992892481315e-02
14, -4.022945176961419e-02, 2.796590618169670e-01, -2.884373529313859e-01, -1.558170655165523e-01, 7.132587921600034e-02, 9.449599981310000e-01, -1.473285995695417e-02
15, 3.110949813815671e-02, 1.976895808864289e-01, -2.076284506729015e-01, -1.050455523164480e-01, 5.014864417412483e-02, 9.375399947170000e-01, -1.563323757020819e-02
16, 3.554880814966731e-02, 9.895802099576032e-02, -1.007404894907442e-01, -8.301717938979600e-02, 2.468868365553665e-02, 9.296900033950000e-01, -1.639607606402992e-02
17, 8.466290117560244e-03, 4.007582694770527e-02, -3.398326925952345e-02, -7.904685097933621e-02, 9.836694843039982e-03, 9.214000105860000e-01, -1.715477247714325e-02
18, -1.314988264679849e-03, 1.657682497081230e-02, -5.778693218350941e-03, -8.588004738744096e-02, 3.989663981662543e-03, 9.126999974250000e-01, -1.801681081947593e-02
19, 1.419834688689370e-03, 1.267356048757855e-02, 5.819392563269460e-04, -9.897241530744921e-02, 2.946203803654331e-03, 9.035800099370001e-01, -1.904805803857604e-02
20, 2.469205505617204e-03, 2.347102786513109e-02, -1.004091253163800e-02, -1.130158477449621e-01, 5.646994901149251e-03, 8.940600156780000e-01, -2.026084530217648e-02
21, 3.932796732177019e-04, 4.714471452521440e-02, -3.566999984272173e-02, -1.242924800634038e-01, 1.166002938705893e-02, 8.841500282290000e-01, -2.162668101087516e-02
22, -1.875154648521895e-03, 8.056734057833564e-02, -7.244304927500117e-02, -1.308907970556825e-01, 2.016861940334728e-02, 8.738499879840000e-01, -2.309241289346529e-02
23, 2.123986278999992e-03, 1.201234188020546e-01, -1.159336180786536e-01, -1.320085428592717e-01, 3.023095018855185e-02, 8.631799817090000e-01, -2.459192925877302e-02
24, 1.625805254757823e-02, 1.625168063157060e-01, -1.621571906880664e-01, -1.277587219858298e-01, 4.102247500782451e-02, 8.521599769590000e-01, -2.606205965129687e-02
25, 2.282016107796014e-02, 2.060088809987297e-01, -2.087812654962503e-01, -1.190750922340698e-01, 5.209280670958055e-02, 8.407700061800000e-01, -2.745591308003596e-02
26, 7.329643495720067e-05, 2.504398825022479e-01, -2.553273099601129e-01, -1.070095206079099e-01, 6.331398193618779e-02, 8.290500044819999e-01, -2.873398106412350e-02
27, -3.455118433521159e-02, 2.927718561236153e-01, -2.989360539257454e-01, -9.222582662469996e-02, 7.387308991766130e-02, 8.170099854470000e-01, -2.987662815825121e-02
28, -4.524678424140412e-02, 3.233028356349914e-01, -3.304604089258573e-01, -7.573531078009267e-02, 8.129903113664175e-02, 8.046399950980000e-01, -3.087962327369881e-02
29, -2.279242263290650e-02, 3.290211079536706e-01, -3.372304085464756e-01, -5.947052236016417e-02, 8.245343209922812e-02, 7.919700145720000e-01, -3.174616156569437e-02
30, 9.095391802797578e-03, 3.057894472403082e-01, -3.147832534635053e-01, -4.542378119505848e-02, 7.649784839107993e-02, 7.790099978450000e-01, -3.248893727002902e-02
31, 2.342613721194704e-02, 2.658645095978689e-01, -2.749195979123368e-01, -3.424206048168039e-02, 6.653358670931271e-02, 7.657799720760000e-01, -3.312431734017415e-02
32, 1.712117765974275e-02, 2.275030548154512e-01, -2.360405444557144e-01, -2.519908461388491e-02, 5.702133144564365e-02, 7.522799968720000e-01, -3.367096019325923e-02
