SENS_AOA=0.00094325006561869
"Point","Sensitivity","PsiRho","Phi_x","Phi_y","PsiE","x_coord","y_coord"
79, -2.204159294875011e-04, 2.356867819861949e-01, -2.660214957553442e-01, 2.424543799216499e-01, 5.974630966809574e-02, 9.181000292300000e-02, -4.418913140466627e-02
80, -2.630314503824235e-04, 2.144071518969779e-01, -2.402248042288315e-01, 2.594868536310810e-01, 5.436728857673800e-02, 8.290000259900000e-02, -4.255885530112435e-02
81, -2.999051398077327e-04, 1.914397043816556e-01, -2.118515081540314e-01, 2.772211565970827e-01, 4.856582212521088e-02, 7.440000027400000e-02, -4.084842143335089e-02
82, -2.560664646085752e-04, 1.666202213651930e-01, -1.805535834466560e-01, 2.956784185844198e-01, 4.231102595958049e-02, 6.633000075800000e-02, -3.906157836866499e-02
83, -1.600322178709858e-05, 1.397141129803598e-01, -1.458641306168009e-01, 3.147805180824067e-01, 3.554122601386663e-02, 5.869000032500000e-02, -3.719821842098492e-02
84, 2.127746262375366e-04, 1.104380279448839e-01, -1.072265829582709e-01, 3.344241914924158e-01, 2.820075966560623e-02, 5.149000138000000e-02, -3.526054762928892e-02
85, 4.781279531645570e-04, 7.855420818952655e-02, -6.403028043859717e-02, 3.544690573790638e-01, 2.021972424254935e-02, 4.473999887700000e-02, -3.325125906296807e-02
86, 9.654919953059720e-04, 4.367576036152634e-02, -1.543342725400495e-02, 3.746211220373282e-01, 1.152662368334681e-02, 3.844000026600000e-02, -3.117020200253871e-02
87, 1.601791756613600e-03, 5.505662670689794e-03, 3.942389764830363e-02, 3.944148412826484e-01, 2.049826497643447e-03, 3.260000050100000e-02, -2.902035411203722e-02
88, 2.502214374440080e-03, -3.645081950723983e-02, 1.017630386864426e-01, 4.130683888026704e-01, -8.300716143631905e-03, 2.723000012300000e-02, -2.680550200687791e-02
89, 3.947699832179581e-03, -8.245697963441422e-02, 1.727269275819537e-01, 4.294016601564128e-01, -1.962324334140746e-02, 2.232000045500000e-02, -2.452072370369331e-02
